numero_path,background_path,inicio
speechcommands/zero/6021f08b_nohash_0.wav,TP2AA/background_sounds/RIVER-BACKGROUND.wav,3574723
speechcommands/zero/b97c9f77_nohash_0.wav,TP2AA/background_sounds/CAR-BACKGROUND.wav,2176477
speechcommands/zero/a60a09cf_nohash_1.wav,TP2AA/background_sounds/BUS-BACKGROUND.wav,4631331
speechcommands/zero/9a356ab9_nohash_2.wav,TP2AA/background_sounds/RIVER-BACKGROUND.wav,3922433
speechcommands/zero/863880b7_nohash_1.wav,TP2AA/background_sounds/STATION-BACKGROUND.wav,3251186
speechcommands/zero/94de6a6a_nohash_3.wav,TP2AA/background_sounds/BUS-BACKGROUND.wav,1541267
speechcommands/zero/d7467392_nohash_0.wav,TP2AA/background_sounds/METER-BACKGROUND.wav,3623219
speechcommands/zero/f292725f_nohash_0.wav,TP2AA/background_sounds/CAR-BACKGROUND.wav,2765850
speechcommands/zero/0d53e045_nohash_0.wav,TP2AA/background_sounds/CAFE-BACKGROUND.wav,3172860
speechcommands/zero/b49caed3_nohash_3.wav,TP2AA/background_sounds/CANCHA-BACKGROUND.wav,269614
speechcommands/zero/fe1916ba_nohash_0.wav,TP2AA/background_sounds/SQUARE-BACKGROUND.wav,2021854
speechcommands/zero/422d3197_nohash_0.wav,TP2AA/background_sounds/SARMIENTO-BACKGROUND.wav,1291767
speechcommands/zero/62ff07ef_nohash_0.wav,TP2AA/background_sounds/CAR-BACKGROUND.wav,96300
speechcommands/zero/48a8a69d_nohash_0.wav,TP2AA/background_sounds/STATION-BACKGROUND.wav,904826
speechcommands/zero/022cd682_nohash_1.wav,TP2AA/background_sounds/METER-BACKGROUND.wav,2428378
speechcommands/zero/0fa1e7a9_nohash_1.wav,TP2AA/background_sounds/SARMIENTO-BACKGROUND.wav,1220000
speechcommands/zero/4a0e2c16_nohash_1.wav,TP2AA/background_sounds/SQUARE-BACKGROUND.wav,4171076
speechcommands/zero/caedb73a_nohash_1.wav,TP2AA/background_sounds/RIVER-BACKGROUND.wav,2020849
speechcommands/zero/9a356ab9_nohash_1.wav,TP2AA/background_sounds/SQUARE-BACKGROUND.wav,2805383
speechcommands/zero/e71b4ce6_nohash_0.wav,TP2AA/background_sounds/IRON-MAIDEN-LIVE-BACKGROUND.wav,550589
speechcommands/zero/9a69672b_nohash_2.wav,TP2AA/background_sounds/CAFE-BACKGROUND.wav,2516698
speechcommands/zero/964e8cfd_nohash_2.wav,TP2AA/background_sounds/CANCHA-BACKGROUND.wav,635572
speechcommands/zero/964e8cfd_nohash_1.wav,TP2AA/background_sounds/CANCHA-BACKGROUND.wav,959201
speechcommands/zero/d7467392_nohash_1.wav,TP2AA/background_sounds/BUS-BACKGROUND.wav,1636463
